measure_order,measure_name,measure_group,display_folder,table_name,dashboard_page,page_order,starter_kit_scope,format_hint,format_string,preferred_visual_type,context_requirement,business_question,description,dax_template
37,Process Area Production Gap Share %,Process Diagnostics,03 Process Performance,mart_process_driver_summary,Process Performance,3,Core Monthly Story,Percentage,0.0%;-0.0%;0.0%,"KPI Card, Column Chart, or Matrix",Use with a single month filter or single month page context.,Share of the site-level production gap attributable to the selected process area.,Share of the site-level production gap attributable to the selected process area.,Process Area Production Gap Share % = MAX(mart_process_driver_summary[process_area_production_gap_share_pct])
38,Cost Center Variance,Cost and Margin Review,04 Cost and Margin,mart_cost_center_summary,Cost and Margin,4,Core Monthly Story,Currency,"$#,##0.00;($#,##0.00);$0.00","KPI Card, Line Chart, or Matrix",Use with a single month filter or single month page context.,Cost variance for the selected cost center or cost-center grouping.,Cost variance for the selected cost center or cost-center grouping.,Cost Center Variance = SUM(mart_cost_center_summary[cost_variance_usd])
39,Cost Center Margin Pressure Share %,Cost and Margin Review,04 Cost and Margin,mart_cost_center_summary,Cost and Margin,4,Core Monthly Story,Percentage,0.0%;-0.0%;0.0%,"KPI Card, Column Chart, or Matrix",Use with a single month filter or single month page context.,Share of site-level positive cost variance attributable to the selected cost center.,Share of site-level positive cost variance attributable to the selected cost center.,Cost Center Margin Pressure Share % = MAX(mart_cost_center_summary[cost_center_margin_pressure_share_pct])
40,Monthly Unit Cost Actual,Cost and Margin Review,04 Cost and Margin,kpi_monthly_summary,Cost and Margin,4,Core Monthly Story,Currency,"$#,##0.00;($#,##0.00);$0.00","KPI Card, Line Chart, or Matrix",Use with a single month filter or single month page context.,Monthly unit cost for management control.,Monthly unit cost for management control.,"Monthly Unit Cost Actual = DIVIDE(SUM(kpi_monthly_summary[operating_cost_usd_actual]), SUM(kpi_monthly_summary[throughput_tonnes_actual]))"
41,Monthly Plan Unit Cost,Cost and Margin Review,04 Cost and Margin,fact_monthly_actual_vs_plan,Cost and Margin,4,Core Monthly Story,Currency,"$#,##0.00;($#,##0.00);$0.00","KPI Card, Line Chart, or Matrix",Use with a single month filter or single month page context.,Planned unit cost for the selected month.,Planned unit cost for the selected month.,"Monthly Plan Unit Cost = CALCULATE(MAX(fact_monthly_actual_vs_plan[plan_value]), fact_monthly_actual_vs_plan[metric] = ""unit_cost_usd_per_tonne"")"
42,Monthly Unit Cost Variance,Cost and Margin Review,04 Cost and Margin,fact_monthly_actual_vs_plan,Cost and Margin,4,Core Monthly Story,Currency,"$#,##0.00;($#,##0.00);$0.00","KPI Card, Line Chart, or Matrix",Use with a single month filter or single month page context.,Absolute unit cost variance for the selected month.,Absolute unit cost variance for the selected month.,"Monthly Unit Cost Variance = CALCULATE(MAX(fact_monthly_actual_vs_plan[variance_value]), fact_monthly_actual_vs_plan[metric] = ""unit_cost_usd_per_tonne"")"
43,Monthly Operating Cost Actual,Cost and Margin Review,04 Cost and Margin,kpi_monthly_summary,Cost and Margin,4,Core Monthly Story,Currency,"$#,##0.00;($#,##0.00);$0.00","KPI Card, Line Chart, or Matrix",Use with a single month filter or single month page context.,Monthly operating cost for margin review.,Monthly operating cost for margin review.,Monthly Operating Cost Actual = SUM(kpi_monthly_summary[operating_cost_usd_actual])
44,Monthly Revenue Proxy Variance %,Cost and Margin Review,04 Cost and Margin,kpi_monthly_summary,Cost and Margin,4,Core Monthly Story,Percentage,0.0%;-0.0%;0.0%,"KPI Card, Column Chart, or Matrix",Use with a single month filter or single month page context.,Revenue proxy deviation versus plan.,Revenue proxy deviation versus plan.,Monthly Revenue Proxy Variance % = MAX(kpi_monthly_summary[revenue_proxy_usd_variance_pct])
45,Monthly EBITDA Proxy Variance %,Cost and Margin Review,04 Cost and Margin,kpi_monthly_summary,Cost and Margin,4,Core Monthly Story,Percentage,0.0%;-0.0%;0.0%,"KPI Card, Column Chart, or Matrix",Use with a single month filter or single month page context.,EBITDA proxy deviation versus plan.,EBITDA proxy deviation versus plan.,Monthly EBITDA Proxy Variance % = MAX(kpi_monthly_summary[ebitda_proxy_usd_variance_pct])
46,Selected Scenario NPV,Scenario and Risk Appendix,05 Advanced Scenario / Risk Appendix,fact_scenario_kpis,Advanced Scenario / Risk Appendix,5,Advanced Appendix,Currency,"$#,##0.00;($#,##0.00);$0.00","KPI Card, Line Chart, or Matrix",Use only on the appendix page with explicit scenario or appendix filter context.,Advanced valuation output for the selected deterministic scenario.,Advanced valuation output for the selected deterministic scenario.,"Selected Scenario NPV = CALCULATE(MAX(fact_scenario_kpis[value]), fact_scenario_kpis[metric] = ""scenario_npv_usd"")"
47,Base Case NPV,Scenario and Risk Appendix,05 Advanced Scenario / Risk Appendix,fact_scenario_kpis,Advanced Scenario / Risk Appendix,5,Advanced Appendix,Currency,"$#,##0.00;($#,##0.00);$0.00","KPI Card, Line Chart, or Matrix",Use only on the appendix page with explicit scenario or appendix filter context.,Reference NPV used when the dashboard needs a valuation anchor.,Reference NPV used when the dashboard needs a valuation anchor.,"Base Case NPV = CALCULATE(MAX(fact_scenario_kpis[value]), fact_scenario_kpis[metric] = ""scenario_npv_usd"", dim_scenario[scenario_id] = ""base"")"
48,Committee Downside NPV,Scenario and Risk Appendix,05 Advanced Scenario / Risk Appendix,fact_scenario_kpis,Advanced Scenario / Risk Appendix,5,Advanced Appendix,Currency,"$#,##0.00;($#,##0.00);$0.00","KPI Card, Line Chart, or Matrix",Use only on the appendix page with explicit scenario or appendix filter context.,Hard downside deterministic case for management and investment review.,Hard downside deterministic case for management and investment review.,"Committee Downside NPV = CALCULATE(MAX(fact_scenario_kpis[value]), fact_scenario_kpis[metric] = ""scenario_npv_usd"", dim_scenario[scenario_id] = ""committee_downside"")"
49,NPV Delta vs Base,Scenario and Risk Appendix,05 Advanced Scenario / Risk Appendix,fact_scenario_kpis,Advanced Scenario / Risk Appendix,5,Advanced Appendix,Currency,"$#,##0.00;($#,##0.00);$0.00","KPI Card, Line Chart, or Matrix",Use only on the appendix page with explicit scenario or appendix filter context.,Change in scenario NPV relative to the reference planning case.,Change in scenario NPV relative to the reference planning case.,NPV Delta vs Base = [Selected Scenario NPV] - [Base Case NPV]
50,Selected Scenario IRR,Scenario and Risk Appendix,05 Advanced Scenario / Risk Appendix,fact_scenario_kpis,Advanced Scenario / Risk Appendix,5,Advanced Appendix,Percentage,0.0%;-0.0%;0.0%,"KPI Card, Column Chart, or Matrix",Use only on the appendix page with explicit scenario or appendix filter context.,IRR for the selected deterministic scenario using explicit year-0 cash flows.,IRR for the selected deterministic scenario using explicit year-0 cash flows.,"Selected Scenario IRR = CALCULATE(MAX(fact_scenario_kpis[value]), fact_scenario_kpis[metric] = ""scenario_irr"")"
51,Scenario Revenue,Scenario and Risk Appendix,05 Advanced Scenario / Risk Appendix,fact_scenario_kpis,Advanced Scenario / Risk Appendix,5,Advanced Appendix,Currency,"$#,##0.00;($#,##0.00);$0.00","KPI Card, Line Chart, or Matrix",Use only on the appendix page with explicit scenario or appendix filter context.,Total revenue exposure over the project horizon for the selected scenario.,Total revenue exposure over the project horizon for the selected scenario.,"Scenario Revenue = CALCULATE(MAX(fact_scenario_kpis[value]), fact_scenario_kpis[metric] = ""total_revenue_usd"")"
52,Scenario EBITDA,Scenario and Risk Appendix,05 Advanced Scenario / Risk Appendix,fact_scenario_kpis,Advanced Scenario / Risk Appendix,5,Advanced Appendix,Currency,"$#,##0.00;($#,##0.00);$0.00","KPI Card, Line Chart, or Matrix",Use only on the appendix page with explicit scenario or appendix filter context.,Total EBITDA over the project horizon for the selected scenario.,Total EBITDA over the project horizon for the selected scenario.,"Scenario EBITDA = CALCULATE(MAX(fact_scenario_kpis[value]), fact_scenario_kpis[metric] = ""total_ebitda_usd"")"
53,Scenario Operating Cash Flow,Scenario and Risk Appendix,05 Advanced Scenario / Risk Appendix,fact_scenario_kpis,Advanced Scenario / Risk Appendix,5,Advanced Appendix,Currency,"$#,##0.00;($#,##0.00);$0.00","KPI Card, Line Chart, or Matrix",Use only on the appendix page with explicit scenario or appendix filter context.,Total operating cash flow over the project horizon for the selected scenario.,Total operating cash flow over the project horizon for the selected scenario.,"Scenario Operating Cash Flow = CALCULATE(MAX(fact_scenario_kpis[value]), fact_scenario_kpis[metric] = ""total_operating_cash_flow_usd"")"
54,Scenario Free Cash Flow,Scenario and Risk Appendix,05 Advanced Scenario / Risk Appendix,fact_scenario_kpis,Advanced Scenario / Risk Appendix,5,Advanced Appendix,Currency,"$#,##0.00;($#,##0.00);$0.00","KPI Card, Line Chart, or Matrix",Use only on the appendix page with explicit scenario or appendix filter context.,Total free cash flow over the project horizon for the selected scenario.,Total free cash flow over the project horizon for the selected scenario.,"Scenario Free Cash Flow = CALCULATE(MAX(fact_scenario_kpis[value]), fact_scenario_kpis[metric] = ""total_free_cash_flow_usd"")"
55,Scenario Capex,Scenario and Risk Appendix,05 Advanced Scenario / Risk Appendix,fact_scenario_kpis,Advanced Scenario / Risk Appendix,5,Advanced Appendix,Currency,"$#,##0.00;($#,##0.00);$0.00","KPI Card, Line Chart, or Matrix",Use only on the appendix page with explicit scenario or appendix filter context.,Total capex burden for the selected scenario.,Total capex burden for the selected scenario.,"Scenario Capex = CALCULATE(MAX(fact_scenario_kpis[value]), fact_scenario_kpis[metric] = ""total_capex_usd"")"
56,Scenario Payback Year,Scenario and Risk Appendix,05 Advanced Scenario / Risk Appendix,fact_scenario_kpis,Advanced Scenario / Risk Appendix,5,Advanced Appendix,Whole Number,"#,##0",KPI Card or Matrix,Use only on the appendix page with explicit scenario or appendix filter context.,"Payback timing for the selected scenario, when available.","Payback timing for the selected scenario, when available.","Scenario Payback Year = CALCULATE(MAX(fact_scenario_kpis[value]), fact_scenario_kpis[metric] = ""payback_year"")"
57,Scenario Avg Throughput,Scenario and Risk Appendix,05 Advanced Scenario / Risk Appendix,fact_scenario_kpis,Advanced Scenario / Risk Appendix,5,Advanced Appendix,Whole Number,"#,##0",KPI Card or Matrix,Use only on the appendix page with explicit scenario or appendix filter context.,Average processed tonnes in the selected scenario.,Average processed tonnes in the selected scenario.,"Scenario Avg Throughput = CALCULATE(MAX(fact_scenario_kpis[value]), fact_scenario_kpis[metric] = ""average_processed_tonnes"")"
58,Scenario Avg Copper Production,Scenario and Risk Appendix,05 Advanced Scenario / Risk Appendix,fact_scenario_kpis,Advanced Scenario / Risk Appendix,5,Advanced Appendix,Whole Number,"#,##0",KPI Card or Matrix,Use only on the appendix page with explicit scenario or appendix filter context.,Average annual copper production in pounds for the selected scenario.,Average annual copper production in pounds for the selected scenario.,"Scenario Avg Copper Production = CALCULATE(MAX(fact_scenario_kpis[value]), fact_scenario_kpis[metric] = ""average_copper_fine_lb"")"
59,Scenario Avg Unit Opex,Scenario and Risk Appendix,05 Advanced Scenario / Risk Appendix,fact_scenario_kpis,Advanced Scenario / Risk Appendix,5,Advanced Appendix,Decimal Number,"#,##0.00","KPI Card, Line Chart, or Matrix",Use only on the appendix page with explicit scenario or appendix filter context.,Average unit operating cost for the selected scenario.,Average unit operating cost for the selected scenario.,"Scenario Avg Unit Opex = CALCULATE(MAX(fact_scenario_kpis[value]), fact_scenario_kpis[metric] = ""average_unit_opex_usd_per_tonne"")"
60,Scenario EBITDA Margin Proxy,Scenario and Risk Appendix,05 Advanced Scenario / Risk Appendix,fact_scenario_kpis,Advanced Scenario / Risk Appendix,5,Advanced Appendix,Percentage,0.0%;-0.0%;0.0%,"KPI Card, Column Chart, or Matrix",Use only on the appendix page with explicit scenario or appendix filter context.,EBITDA-to-revenue proxy used as a margin-style planning KPI.,EBITDA-to-revenue proxy used as a margin-style planning KPI.,"Scenario EBITDA Margin Proxy = CALCULATE(MAX(fact_scenario_kpis[value]), fact_scenario_kpis[metric] = ""ebitda_margin_proxy"")"
61,Annual Revenue,Scenario and Risk Appendix,05 Advanced Scenario / Risk Appendix,fact_annual_metrics,Advanced Scenario / Risk Appendix,5,Advanced Appendix,Currency,"$#,##0.00;($#,##0.00);$0.00","KPI Card, Line Chart, or Matrix",Use only on the appendix page with explicit scenario or appendix filter context.,Yearly revenue profile.,Yearly revenue profile.,"Annual Revenue = CALCULATE(SUM(fact_annual_metrics[value]), fact_annual_metrics[metric] = ""revenue_usd"")"
