site_id,period,month_label,dashboard_page,metric,metric_display_name,exception_code,exception_title,business_area,severity,plan_value,actual_value,variance_value,variance_pct,management_question,exception_message
demo_south_concentrator,2025-05,May 2025,Monthly Actual vs Plan,throughput_tonnes,Throughput,major_throughput_shortfall,Major Throughput Shortfall,Operations,warning,171200.0,164190.0,-7010.0,-0.04094626168224299,"Is plant availability, feed quality, or scheduling constraining tonnes processed?",Throughput is 4.1% below plan.
demo_south_concentrator,2025-03,Mar 2025,Monthly Actual vs Plan,throughput_tonnes,Throughput,major_throughput_shortfall,Major Throughput Shortfall,Operations,warning,170150.0,163200.0,-6950.0,-0.040846312077578606,"Is plant availability, feed quality, or scheduling constraining tonnes processed?",Throughput is 4.1% below plan.
demo_south_concentrator,2025-10,Oct 2025,Monthly Actual vs Plan,throughput_tonnes,Throughput,major_throughput_shortfall,Major Throughput Shortfall,Operations,warning,183680.0,176400.0,-7280.0,-0.039634146341463415,"Is plant availability, feed quality, or scheduling constraining tonnes processed?",Throughput is 4.0% below plan.
demo_south_concentrator,2025-12,Dec 2025,Monthly Actual vs Plan,throughput_tonnes,Throughput,major_throughput_shortfall,Major Throughput Shortfall,Operations,warning,191100.0,184090.0,-7010.0,-0.03668236525379383,"Is plant availability, feed quality, or scheduling constraining tonnes processed?",Throughput is 3.7% below plan.
demo_south_concentrator,2025-11,Nov 2025,Monthly Actual vs Plan,throughput_tonnes,Throughput,major_throughput_shortfall,Major Throughput Shortfall,Operations,warning,189840.0,183270.0,-6570.0,-0.03460809102402023,"Is plant availability, feed quality, or scheduling constraining tonnes processed?",Throughput is 3.5% below plan.
demo_south_concentrator,2025-07,Jul 2025,Monthly Actual vs Plan,throughput_tonnes,Throughput,major_throughput_shortfall,Major Throughput Shortfall,Operations,warning,175200.0,169260.0,-5940.0,-0.033904109589041095,"Is plant availability, feed quality, or scheduling constraining tonnes processed?",Throughput is 3.4% below plan.
demo_south_concentrator,2025-08,Aug 2025,Monthly Actual vs Plan,throughput_tonnes,Throughput,major_throughput_shortfall,Major Throughput Shortfall,Operations,warning,176000.0,170040.0,-5960.0,-0.03386363636363637,"Is plant availability, feed quality, or scheduling constraining tonnes processed?",Throughput is 3.4% below plan.
demo_south_concentrator,2025-02,Feb 2025,Monthly Actual vs Plan,throughput_tonnes,Throughput,major_throughput_shortfall,Major Throughput Shortfall,Operations,warning,170100.0,164410.0,-5690.0,-0.033450911228689005,"Is plant availability, feed quality, or scheduling constraining tonnes processed?",Throughput is 3.3% below plan.
demo_north_concentrator,2025-03,Mar 2025,Monthly Actual vs Plan,copper_production_tonnes,Copper Production,major_production_shortfall,Major Production Shortfall,Production,warning,1620.8090599999998,1568.0,-52.80905999999982,-0.032581913134172524,"Is the production gap being driven by volume, grade, recovery, or a combination?",Copper Production is 3.3% below plan.
demo_north_concentrator,2025-12,Dec 2025,Monthly Actual vs Plan,copper_production_tonnes,Copper Production,major_production_shortfall,Major Production Shortfall,Production,warning,1822.1239400000006,1764.0,-58.12394000000063,-0.03189900463082693,"Is the production gap being driven by volume, grade, recovery, or a combination?",Copper Production is 3.2% below plan.
demo_south_concentrator,2025-06,Jun 2025,Monthly Actual vs Plan,throughput_tonnes,Throughput,major_throughput_shortfall,Major Throughput Shortfall,Operations,warning,172800.0,167310.0,-5490.0,-0.03177083333333333,"Is plant availability, feed quality, or scheduling constraining tonnes processed?",Throughput is 3.2% below plan.
demo_south_concentrator,2025-04,Apr 2025,Monthly Actual vs Plan,throughput_tonnes,Throughput,major_throughput_shortfall,Major Throughput Shortfall,Operations,warning,172200.0,166800.0,-5400.0,-0.0313588850174216,"Is plant availability, feed quality, or scheduling constraining tonnes processed?",Throughput is 3.1% below plan.
demo_south_concentrator,2025-01,Jan 2025,Process Performance,recovery_pct,Recovery,major_recovery_underperformance,Major Recovery Underperformance,Process Performance,warning,87.076,85.44,-1.6359999999999957,-0.01878818503376356,Is metallurgical performance eroding concentrate output relative to plan?,Recovery is 1.9% below plan.
demo_south_concentrator,2025-09,Sep 2025,Process Performance,recovery_pct,Recovery,major_recovery_underperformance,Major Recovery Underperformance,Process Performance,warning,88.688,87.025,-1.6629999999999967,-0.018751127548259028,Is metallurgical performance eroding concentrate output relative to plan?,Recovery is 1.9% below plan.
demo_south_concentrator,2025-12,Dec 2025,Process Performance,recovery_pct,Recovery,major_recovery_underperformance,Major Recovery Underperformance,Process Performance,warning,87.876,86.44,-1.436000000000007,-0.016341208065911137,Is metallurgical performance eroding concentrate output relative to plan?,Recovery is 1.6% below plan.
demo_south_concentrator,2025-11,Nov 2025,Process Performance,recovery_pct,Recovery,major_recovery_underperformance,Major Recovery Underperformance,Process Performance,warning,88.176,86.84,-1.3359999999999985,-0.015151515151515135,Is metallurgical performance eroding concentrate output relative to plan?,Recovery is 1.5% below plan.
